source_no,title,source_url,publisher,publication_date,acquired_at,version,effective_date,expiry_date,authority_status,jurisdiction,document_type,source_type,local_path,actually_downloaded,manually_verified,license_note,notes
SRC-OFFICIAL-000,物业管理条例,https://xzfg.moj.gov.cn/front/law/detail?LawID=959,司法部国家行政法规库,2003-06-08,2026-08-01,国务院令第379号（2007年修订；2016年、2018年修改）,2007-10-01,,现行有效,全国,property_management_regulation,official_public_document,official/property_management_regulation.html,true,true,政府网站公开发布,国家行政法规库网页存档；已核对历史沿革
SRC-OFFICIAL-001,住宅专项维修资金管理办法,https://www.mohurd.gov.cn/file/2023/20231215/307be17e-488a-4a28-8930-58ca18535d12.pdf,住房和城乡建设部;财政部,2007-12-04,2026-08-01,建设部财政部令第165号,2008-02-01,,现行有效,全国,maintenance_fund,official_public_document,official/repair_fund_rule.pdf,true,true,政府网站公开发布,官方 PDF 原件
SRC-OFFICIAL-002,住宅室内装饰装修管理办法,https://www.mohurd.gov.cn/file/2022/20220228/8e2304b2-9f66-426b-ab25-6eda86fa0f67.pdf,住房和城乡建设部,2002-03-05,2026-08-01,建设部令第110号,2002-05-01,,现行有效,全国,renovation_rule,official_public_document,official/renovation_rule.pdf,true,true,政府网站公开发布,官方 PDF 原件
SRC-OFFICIAL-003,关于进一步加强城市房屋室内装饰装修安全管理的通知,https://www.gov.cn/zhengce/zhengceku/202306/content_6885666.htm,住房和城乡建设部,2023-06-07,2026-08-01,建办〔2023〕29号,2023-06-07,,现行有效,全国,renovation_rule,official_public_document,official/renovation_safety.html,true,true,政府网站公开发布,国务院部门文件网页存档
SRC-OFFICIAL-004,上海市住宅小区应急预案（示范文本）,https://fgj.sh.gov.cn/wyglgw/20211227/993c3faddfd548429e3750a5877a2753.html,上海市房屋管理局,2021-12-27,2026-08-01,沪房物业〔2021〕203号,2021-12-27,,现行有效,上海市,community_emergency_plan,official_public_document,official/shanghai_emergency_template.html,true,true,政府网站公开发布,仅适用于上海; 不作为全国通用规则
SRC-OFFICIAL-005,住宅专项维修资金会计核算办法,https://www.mof.gov.cn/gkml/caizhengwengao/202001wg/wg202004/202007/t20200707_3545399.htm,财政部,2020-04-20,2026-08-01,财会〔2020〕7号,2021-01-01,,现行有效,全国,maintenance_fund,official_public_document,official/repair_fund_accounting.html,true,true,政府网站公开发布,财政部网页存档
SRC-SYNTHETIC-001,智邻花园装修管理规定（虚拟示例）,local://data/knowledge/zhilin_garden_renovation.md,智邻花园（虚拟）,2026-08-01,2026-08-01,1.0,2026-08-01,,有效,Demo Garden,renovation_rule,synthetic_community_document,zhilin_garden_renovation.md,true,true,项目自建虚拟资料,仅用于演示
SRC-SYNTHETIC-002,智邻花园物业收费说明（虚拟示例）,local://data/knowledge/zhilin_garden_fee.md,智邻花园（虚拟）,2026-08-01,2026-08-01,1.0,2026-08-01,,有效,Demo Garden,fee_rule,synthetic_community_document,zhilin_garden_fee.md,true,true,项目自建虚拟资料,仅用于演示
SRC-SYNTHETIC-003,智邻花园管理规约与公共区域管理制度（虚拟示例）,local://data/knowledge/zhilin_garden_community_rules.md,智邻花园（虚拟）,2026-08-01,2026-08-01,1.0,2026-08-01,,有效,Demo Garden,community_convention,synthetic_community_document,zhilin_garden_community_rules.md,true,true,项目自建虚拟资料,覆盖管理规约/公共区域/宠物
SRC-SYNTHETIC-004,智邻花园停车管理与收费说明（虚拟示例）,local://data/knowledge/zhilin_garden_parking.md,智邻花园（虚拟）,2026-08-01,2026-08-01,1.0,2026-08-01,,有效,Demo Garden,parking_rule,synthetic_community_document,zhilin_garden_parking.md,true,true,项目自建虚拟资料,覆盖停车管理/停车费
SRC-SYNTHETIC-005,智邻花园物业服务与报修投诉流程（虚拟示例）,local://data/knowledge/zhilin_garden_service_processes.md,智邻花园（虚拟）,2026-08-01,2026-08-01,1.0,2026-08-01,,有效,Demo Garden,service_process,synthetic_community_document,zhilin_garden_service_processes.md,true,true,项目自建虚拟资料,覆盖服务合同/报修/投诉
SRC-SYNTHETIC-006,智邻花园安全应急与联系人手册（虚拟示例）,local://data/knowledge/zhilin_garden_emergency_manual.md,智邻花园（虚拟）,2026-08-01,2026-08-01,1.0,2026-08-01,,有效,Demo Garden,community_emergency_plan,synthetic_community_document,zhilin_garden_emergency_manual.md,true,true,项目自建虚拟资料,覆盖消防/电梯/燃气/停水/停电/极端天气
