source_no,title,source_url,publisher,publication_date,acquired_at,version,effective_date,expiry_date,authority_status,country,jurisdiction,language,document_type,source_type,local_path,actually_downloaded,manually_verified,answerable,authority_level,license_note,license_url,contains_personal_data,minimization_rule,parser_version,review_status,checksum,translation_provider,translation_model,translation_version,notes
SRC-OFFICIAL-GB-001,Complaint Handling Code 2024,https://www.housing-ombudsman.org.uk/app/uploads/2024/09/03.Complaint-Handling-Code-24.pdf,Housing Ombudsman Service,2024-02-08,2026-08-10,2024 revised 2024-04-17,2024-04-01,,statutory,GB,GB,en,complaint_handling_code,official_public_document,official/international/gb_complaint_handling_code_2024.pdf,true,true,true,statutory_code,Official public document; local research snapshot; redistribution terms require separate review,https://www.housing-ombudsman.org.uk/landlords-info/complaint-handling-code/the-code-2024/,false,,pdf-structured-v1,approved,,,,,Applies to Housing Ombudsman member landlords only
SRC-OFFICIAL-GLOBAL-001,Open311 GeoReport v2,https://wiki.open311.org/GeoReport_v2/,Open311 / OpenPlans,,2026-08-10,GeoReport v2,,,finalized,GLOBAL,GLOBAL,en,technical_standard,official_public_document,official/international/open311_georeport_v2.html,true,true,true,technical_standard,Open standard documentation; local research snapshot only,https://www.open311.org/about/,false,,html-structured-v1,approved,,,,,Technical API specification; not property law
SRC-OFFICIAL-CN-006,高层民用建筑消防安全管理规定,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/P020211228721655794602.pdf,中华人民共和国应急管理部,2021-06-21,2026-08-10,应急管理部令第5号,2021-08-01,,现行有效,CN,全国,zh-CN,fire_safety_regulation,official_public_document,official/china/highrise_building_fire_safety.pdf,true,true,true,national_department_rule,政府网站公开发布,https://www.mem.gov.cn/,false,,pdf-structured-v1,approved,,,,,适用于依法投入使用的高层民用建筑
SRC-OFFICIAL-CN-BJ-001,北京市物业管理区域内消防安全管理规定相关通知,https://www.beijing.gov.cn/zhengce/zhengcefagui/qtwj/202204/t20220414_2676926.html,北京市住房和城乡建设委员会,2021-08-26,2026-08-10,京建发〔2021〕284号,2021-08-26,,现行有效,CN,北京市,zh-CN,regional_fire_safety_notice,official_public_document,official/china/beijing_property_fire_safety_notice.html,true,true,true,regional_policy_notice,政府网站公开发布,https://www.beijing.gov.cn/,false,,html-structured-v1,approved,,,,,仅适用于北京市物业管理区域
SRC-OFFICIAL-CN-BJ-002,住宅物业服务标准,https://bzh.scjgj.beijing.gov.cn/bzh/apifile/file/2025/20250709/88e1be81-0a3b-4193-9cae-a506c0d9874a.pdf,北京市住房和城乡建设委员会;北京市市场监督管理局,2025-06-26,2026-08-10,DB11/T 751-2025,2025-10-01,,现行,CN,北京市,zh-CN,property_service_standard,official_public_document,official/china/beijing_residential_property_service_standard_2025.pdf,true,true,true,regional_recommended_standard,北京市地方标准公开文本,https://bzh.scjgj.beijing.gov.cn/,false,,pdf-structured-v1,approved,,,,,代替 DB11/T 751-2010；含投诉与报修服务要求
SRC-OFFICIAL-GB-002,How to report a problem or complain about a social housing landlord,https://www.gov.uk/guidance/how-to-report-a-problem-or-make-an-individual-complaint-about-your-social-housing-landlord,Regulator of Social Housing,2024-04-02,2026-08-10,updated 2024-05-14,,,current,GB,GB,en,complaint_process,official_public_document,official/international/gb_report_social_housing_landlord.html,true,true,true,government_guidance,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,false,,html-structured-v1,approved,,,,,Applies to social housing in England
SRC-OFFICIAL-GB-003,Awaab's Law guidance: timeframes for repairs in the social rented sector,https://www.gov.uk/government/publications/awaabs-law-guidance-for-social-landlords/awaabs-law-guidance-for-social-landlords-timeframes-for-repairs-in-the-social-rented-sector,Ministry of Housing Communities and Local Government,2025-06-25,2026-08-10,updated 2026-07-16,,,current,GB,GB,en,repair_timeframes,official_public_document,official/international/gb_awaabs_law_repair_timeframes.html,true,true,true,statutory_guidance,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,false,,html-structured-v1,approved,,,,,Applies to social landlords in England; verify phased commencement
SRC-OFFICIAL-GB-004,Social housing complaints: Make Things Right,https://www.gov.uk/guidance/social-housing-complaints-make-things-right,Department for Levelling Up Housing and Communities,2023-03-06,2026-08-10,current campaign guidance,,,current,GB,GB,en,complaint_process,official_public_document,official/international/gb_social_housing_complaints.html,true,true,true,government_guidance,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,false,,html-structured-v1,approved,,,,,Applies to social housing complaints in England
SRC-OFFICIAL-GB-005,Regulator of Social Housing and Housing Ombudsman Service factsheet,https://www.gov.uk/guidance/regulator-of-social-housing-and-housing-ombudsman-service-factsheet,Regulator of Social Housing,2023-05-26,2026-08-10,current factsheet,,,current,GB,GB,en,regulator_factsheet,official_public_document,official/international/gb_regulator_ombudsman_factsheet.html,true,true,true,government_guidance,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,false,,html-structured-v1,approved,,,,,Explains different roles of the regulator and ombudsman
SRC-OFFICIAL-GB-006,Follow-up Spotlight report on damp and mould,https://www.housing-ombudsman.org.uk/reports/spotlight-reports/spotlight-on-damp-and-mould/follow-up-spotlight-on-damp-and-mould/,Housing Ombudsman Service,2023-02-01,2026-08-10,follow-up report,,,current,GB,GB,en,damp_mould_guidance,official_public_document,official/international/gb_damp_mould_followup.html,true,true,true,ombudsman_guidance,Official public page; local research snapshot; redistribution terms require separate review,https://www.housing-ombudsman.org.uk/,false,,html-structured-v1,approved,,,,,Learning and recommendations; not legislation
